"Date","Site.Name","COUNTY","meanLat","meanLong","Month","Year","PM2.5","Ozone"
"2018-01-01","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,24,NA
"2018-01-01","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,20,32
"2018-01-01","Leggett","Edgecombe",35.988278,-77.5843,1,2018,14,NA
"2018-01-01","Millbrook School","Wake",35.856111,-78.574167,1,2018,28,34
"2018-01-01","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,15,NA
"2018-01-02","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,40,NA
"2018-01-02","Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,7,NA
"2018-01-02","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,38,31
"2018-01-02","Leggett","Edgecombe",35.988278,-77.5843,1,2018,20,NA
"2018-01-02","Linville Falls","Avery",35.972347,-81.933072,1,2018,12,NA
"2018-01-02","Millbrook School","Wake",35.856111,-78.574167,1,2018,38.5,31
"2018-01-02","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,28,NA
"2018-01-03","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,68,NA
"2018-01-03","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,59,21
"2018-01-03","Leggett","Edgecombe",35.988278,-77.5843,1,2018,23,NA
"2018-01-03","Millbrook School","Wake",35.856111,-78.574167,1,2018,61,30
"2018-01-03","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,34,NA
"2018-01-04","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,42,NA
"2018-01-04","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,39,30
"2018-01-04","Leggett","Edgecombe",35.988278,-77.5843,1,2018,23,NA
"2018-01-04","Millbrook School","Wake",35.856111,-78.574167,1,2018,39,32
"2018-01-04","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,25,NA
"2018-01-05","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,37,NA
"2018-01-05","Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,13,NA
"2018-01-05","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,32,30
"2018-01-05","Leggett","Edgecombe",35.988278,-77.5843,1,2018,9,NA
"2018-01-05","Linville Falls","Avery",35.972347,-81.933072,1,2018,15,NA
"2018-01-05","Millbrook School","Wake",35.856111,-78.574167,1,2018,32,33
"2018-01-05","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,21,NA
"2018-01-06","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,35,NA
"2018-01-06","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,40,31
"2018-01-06","Leggett","Edgecombe",35.988278,-77.5843,1,2018,8,NA
"2018-01-06","Millbrook School","Wake",35.856111,-78.574167,1,2018,33,33
"2018-01-06","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,17,NA
"2018-01-07","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,49,NA
"2018-01-07","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,47,31
"2018-01-07","Leggett","Edgecombe",35.988278,-77.5843,1,2018,15,NA
"2018-01-07","Millbrook School","Wake",35.856111,-78.574167,1,2018,48,34
"2018-01-07","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,18,NA
"2018-01-08","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,52,NA
"2018-01-08","Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,3,NA
"2018-01-08","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,53,16
"2018-01-08","Leggett","Edgecombe",35.988278,-77.5843,1,2018,40,NA
"2018-01-08","Linville Falls","Avery",35.972347,-81.933072,1,2018,22,NA
"2018-01-08","Millbrook School","Wake",35.856111,-78.574167,1,2018,42.5,27
"2018-01-08","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,31,NA
"2018-01-09","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,60,NA
"2018-01-09","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,53,28
"2018-01-09","Leggett","Edgecombe",35.988278,-77.5843,1,2018,19,NA
"2018-01-09","Millbrook School","Wake",35.856111,-78.574167,1,2018,35,30
"2018-01-09","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,31,NA
"2018-01-10","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,39,NA
"2018-01-10","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,38,31
"2018-01-10","Leggett","Edgecombe",35.988278,-77.5843,1,2018,35,NA
"2018-01-10","Millbrook School","Wake",35.856111,-78.574167,1,2018,22,33
"2018-01-10","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,37,NA
"2018-01-11","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,59,NA
"2018-01-11","Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,0,NA
"2018-01-11","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,35,26
"2018-01-11","Leggett","Edgecombe",35.988278,-77.5843,1,2018,34,NA
"2018-01-11","Linville Falls","Avery",35.972347,-81.933072,1,2018,3,NA
"2018-01-11","Millbrook School","Wake",35.856111,-78.574167,1,2018,23,26
"2018-01-11","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,27.5,NA
"2018-01-12","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,23,NA
"2018-01-12","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,20,33
"2018-01-12","Leggett","Edgecombe",35.988278,-77.5843,1,2018,8,NA
"2018-01-12","Millbrook School","Wake",35.856111,-78.574167,1,2018,0,35
"2018-01-12","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,12,NA
"2018-01-13","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,10,NA
"2018-01-13","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,15,32
"2018-01-13","Leggett","Edgecombe",35.988278,-77.5843,1,2018,0,NA
"2018-01-13","Millbrook School","Wake",35.856111,-78.574167,1,2018,24,32
"2018-01-13","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,3,NA
"2018-01-14","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,25,NA
"2018-01-14","Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,6,NA
"2018-01-14","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,26.5,31
"2018-01-14","Leggett","Edgecombe",35.988278,-77.5843,1,2018,10,NA
"2018-01-14","Linville Falls","Avery",35.972347,-81.933072,1,2018,10,NA
"2018-01-14","Millbrook School","Wake",35.856111,-78.574167,1,2018,19.5,NA
"2018-01-14","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,15.5,NA
"2018-01-15","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,30,NA
"2018-01-15","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,43,27
"2018-01-15","Leggett","Edgecombe",35.988278,-77.5843,1,2018,24,NA
"2018-01-15","Millbrook School","Wake",35.856111,-78.574167,1,2018,35,NA
"2018-01-15","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,30,NA
"2018-01-16","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,69,NA
"2018-01-16","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,61,28
"2018-01-16","Leggett","Edgecombe",35.988278,-77.5843,1,2018,29,NA
"2018-01-16","Millbrook School","Wake",35.856111,-78.574167,1,2018,58,24
"2018-01-16","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,37,NA
"2018-01-17","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,55,NA
"2018-01-17","Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,15,NA
"2018-01-17","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,40.5,28
"2018-01-17","Leggett","Edgecombe",35.988278,-77.5843,1,2018,38,NA
"2018-01-17","Linville Falls","Avery",35.972347,-81.933072,1,2018,19,NA
"2018-01-17","Millbrook School","Wake",35.856111,-78.574167,1,2018,56,29
"2018-01-17","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,48.5,NA
"2018-01-18","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,40,NA
"2018-01-18","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,40,31
"2018-01-18","Leggett","Edgecombe",35.988278,-77.5843,1,2018,31,NA
"2018-01-18","Millbrook School","Wake",35.856111,-78.574167,1,2018,54,35
"2018-01-18","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,38,NA
"2018-01-19","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,54,NA
"2018-01-19","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,49,22
"2018-01-19","Leggett","Edgecombe",35.988278,-77.5843,1,2018,25,NA
"2018-01-19","Millbrook School","Wake",35.856111,-78.574167,1,2018,55,32
"2018-01-19","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,34,NA
"2018-01-20","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,63,NA
"2018-01-20","Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,6,NA
"2018-01-20","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,43,32
"2018-01-20","Leggett","Edgecombe",35.988278,-77.5843,1,2018,28,NA
"2018-01-20","Linville Falls","Avery",35.972347,-81.933072,1,2018,8,NA
"2018-01-20","Millbrook School","Wake",35.856111,-78.574167,1,2018,50,35
"2018-01-20","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,41,NA
"2018-01-21","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,48,NA
"2018-01-21","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,53,36
"2018-01-21","Leggett","Edgecombe",35.988278,-77.5843,1,2018,22,NA
"2018-01-21","Millbrook School","Wake",35.856111,-78.574167,1,2018,51,34
"2018-01-21","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,35,NA
"2018-01-22","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,58,NA
"2018-01-22","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,57,37
"2018-01-22","Leggett","Edgecombe",35.988278,-77.5843,1,2018,40,NA
"2018-01-22","Millbrook School","Wake",35.856111,-78.574167,1,2018,59,32
"2018-01-22","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,39,NA
"2018-01-23","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,25,NA
"2018-01-23","Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,11,NA
"2018-01-23","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,15.5,36
"2018-01-23","Leggett","Edgecombe",35.988278,-77.5843,1,2018,13,NA
"2018-01-23","Linville Falls","Avery",35.972347,-81.933072,1,2018,10,NA
"2018-01-23","Millbrook School","Wake",35.856111,-78.574167,1,2018,20.5,37
"2018-01-23","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,16,NA
"2018-01-24","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,16,NA
"2018-01-24","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,22,28
"2018-01-24","Leggett","Edgecombe",35.988278,-77.5843,1,2018,3,NA
"2018-01-24","Millbrook School","Wake",35.856111,-78.574167,1,2018,20,31
"2018-01-24","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,9,NA
"2018-01-25","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,34,NA
"2018-01-25","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,30,31
"2018-01-25","Leggett","Edgecombe",35.988278,-77.5843,1,2018,8,NA
"2018-01-25","Millbrook School","Wake",35.856111,-78.574167,1,2018,35,31
"2018-01-25","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,13,NA
"2018-01-26","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,58,NA
"2018-01-26","Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,8,NA
"2018-01-26","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,46,34
"2018-01-26","Leggett","Edgecombe",35.988278,-77.5843,1,2018,16,NA
"2018-01-26","Linville Falls","Avery",35.972347,-81.933072,1,2018,18,NA
"2018-01-26","Millbrook School","Wake",35.856111,-78.574167,1,2018,47.5,28
"2018-01-26","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,21,NA
"2018-01-27","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,61,NA
"2018-01-27","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,49,31
"2018-01-27","Leggett","Edgecombe",35.988278,-77.5843,1,2018,18,NA
"2018-01-27","Millbrook School","Wake",35.856111,-78.574167,1,2018,37,37
"2018-01-27","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,26,NA
"2018-01-28","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,56,NA
"2018-01-28","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,43,29
"2018-01-28","Leggett","Edgecombe",35.988278,-77.5843,1,2018,10,NA
"2018-01-28","Millbrook School","Wake",35.856111,-78.574167,1,2018,22,30
"2018-01-28","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,11,NA
"2018-01-29","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,18,NA
"2018-01-29","Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,4,NA
"2018-01-29","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,13,23
"2018-01-29","Leggett","Edgecombe",35.988278,-77.5843,1,2018,0,NA
"2018-01-29","Linville Falls","Avery",35.972347,-81.933072,1,2018,7,NA
"2018-01-29","Millbrook School","Wake",35.856111,-78.574167,1,2018,10,25
"2018-01-29","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,5,NA
"2018-01-30","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,22,NA
"2018-01-30","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,17,NA
"2018-01-30","Leggett","Edgecombe",35.988278,-77.5843,1,2018,18,NA
"2018-01-30","Millbrook School","Wake",35.856111,-78.574167,1,2018,26,34
"2018-01-30","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,19,NA
"2018-01-31","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,35,NA
"2018-01-31","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,26,31
"2018-01-31","Leggett","Edgecombe",35.988278,-77.5843,1,2018,15,NA
"2018-01-31","Millbrook School","Wake",35.856111,-78.574167,1,2018,29,31
"2018-01-31","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,20,NA
"2018-02-01","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,51,NA
"2018-02-01","Frying Pan Mountain","Haywood",35.379167,-82.7925,2,2018,12,NA
"2018-02-01","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,41,33
"2018-02-01","Leggett","Edgecombe",35.988278,-77.5843,2,2018,23,NA
"2018-02-01","Linville Falls","Avery",35.972347,-81.933072,2,2018,24,NA
"2018-02-01","Millbrook School","Wake",35.856111,-78.574167,2,2018,28,38
"2018-02-01","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2,2018,22.5,NA
"2018-02-02","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,16,NA
"2018-02-02","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,20,34
"2018-02-02","Leggett","Edgecombe",35.988278,-77.5843,2,2018,10,NA
"2018-02-02","Millbrook School","Wake",35.856111,-78.574167,2,2018,25,34
"2018-02-03","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,40,NA
"2018-02-03","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,24,34
"2018-02-03","Leggett","Edgecombe",35.988278,-77.5843,2,2018,11,NA
"2018-02-03","Millbrook School","Wake",35.856111,-78.574167,2,2018,32,31
"2018-02-04","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,40,NA
"2018-02-04","Frying Pan Mountain","Haywood",35.379167,-82.7925,2,2018,2,NA
"2018-02-04","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,27.5,20
"2018-02-04","Leggett","Edgecombe",35.988278,-77.5843,2,2018,13,NA
"2018-02-04","Linville Falls","Avery",35.972347,-81.933072,2,2018,5,NA
"2018-02-04","Millbrook School","Wake",35.856111,-78.574167,2,2018,24,31
"2018-02-04","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2,2018,12,NA
"2018-02-05","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,26,NA
"2018-02-05","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,24,31
"2018-02-05","Leggett","Edgecombe",35.988278,-77.5843,2,2018,10,NA
"2018-02-05","Millbrook School","Wake",35.856111,-78.574167,2,2018,30,29
"2018-02-06","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,43,NA
"2018-02-06","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,36,24
"2018-02-06","Leggett","Edgecombe",35.988278,-77.5843,2,2018,26,NA
"2018-02-06","Millbrook School","Wake",35.856111,-78.574167,2,2018,45,32
"2018-02-07","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,33,NA
"2018-02-07","Frying Pan Mountain","Haywood",35.379167,-82.7925,2,2018,2,NA
"2018-02-07","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,25.5,23
"2018-02-07","Leggett","Edgecombe",35.988278,-77.5843,2,2018,21,NA
"2018-02-07","Linville Falls","Avery",35.972347,-81.933072,2,2018,9,NA
"2018-02-07","Millbrook School","Wake",35.856111,-78.574167,2,2018,25.5,32
"2018-02-07","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2,2018,19,NA
"2018-02-08","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,33,NA
"2018-02-08","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,28,31
"2018-02-08","Leggett","Edgecombe",35.988278,-77.5843,2,2018,28,NA
"2018-02-08","Millbrook School","Wake",35.856111,-78.574167,2,2018,36,28
"2018-02-09","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,60,NA
"2018-02-09","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,42,35
"2018-02-09","Leggett","Edgecombe",35.988278,-77.5843,2,2018,30,NA
"2018-02-09","Millbrook School","Wake",35.856111,-78.574167,2,2018,49,36
"2018-02-10","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,57,NA
"2018-02-10","Frying Pan Mountain","Haywood",35.379167,-82.7925,2,2018,1,NA
"2018-02-10","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,37,17
"2018-02-10","Leggett","Edgecombe",35.988278,-77.5843,2,2018,25,NA
"2018-02-10","Linville Falls","Avery",35.972347,-81.933072,2,2018,14,NA
"2018-02-10","Millbrook School","Wake",35.856111,-78.574167,2,2018,35,20
"2018-02-10","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2,2018,24,NA
"2018-02-11","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,24,NA
"2018-02-11","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,18,20
"2018-02-11","Leggett","Edgecombe",35.988278,-77.5843,2,2018,23,NA
"2018-02-11","Millbrook School","Wake",35.856111,-78.574167,2,2018,30,23
"2018-02-11","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2,2018,25,NA
"2018-02-12","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,17,NA
"2018-02-12","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,13,32
